Source_Station_Name,Average_Trains_Per_Day
KALIANPUR,0.2857142857142857
KANKURGACHHI ROAD JN.,0.2857142857142857
KANCHIPURAM,0.2857142857142857
MARIANI JN.,0.2857142857142857
MANKHURD,0.2857142857142857
MADHYAM GRAM,0.2857142857142857
MAHBUBABAD,0.2857142857142857
JAGITYAL,0.2857142857142857
MADAR JN,0.2857142857142857
THIRUVARUR JN.,0.2857142857142857
TANDUR,0.2857142857142857
SULTANGANJ,0.2857142857142857
SRI SATYA SAI PRASANTI NILAYAM,0.2857142857142857
TILRATH,0.2857142857142857
VIKRABAD JN.,0.2857142857142857
JORHAT TOWN,0.2857142857142857
JAKHAL JN.,0.2857142857142857
UDAIPUR,0.2857142857142857
CHANDAUSI JN.,0.2857142857142857
CHANDAFORT,0.2857142857142857
UNA HIMACHAL,0.2857142857142857
CHHAPRA KACHEHRI,0.2857142857142857
ABHANPUR JN.,0.2857142857142857
BOLPUR,0.2857142857142857
BORIVLI,0.2857142857142857
KRISHNA RAJA PURAM,0.2857142857142857
SIRPURKAGHAZ NAGAR,0.2857142857142857
SIRPUR TOWN,0.2857142857142857
SINGUR,0.2857142857142857
LALGARH JN.,0.2857142857142857
SIURI,0.2857142857142857
MAKRANA JN.,0.2857142857142857
MAISHASHAN,0.2857142857142857
MAHOBA,0.2857142857142857
DULLABCHERRA,0.2857142857142857
WARANGAL,0.2857142857142857
WHITE FIELD,0.2857142857142857
BHABUA ROAD,0.2857142857142857
BHAGA JN,0.2857142857142857
SHIKOHABAD JN.,0.2857142857142857
SHAKTINAGAR,0.2857142857142857
HATHRAS QILAH,0.2857142857142857
HINDUPUR,0.2857142857142857
HIJLI,0.2857142857142857
GHAT KOPAR,0.2857142857142857
NAYAGARHTOWN,0.2857142857142857
NEW ALIPURDUAR,0.2857142857142857
NEW COOCH BEHAR,0.2857142857142857
NEW TINSUKIA JN,0.2857142857142857
NIMTITA,0.2857142857142857
NIMACH,0.2857142857142857
BASTI,0.2857142857142857
BARWADIH JN,0.2857142857142857
RAJGIR,0.2857142857142857
HOSUR,0.2857142857142857
METTUR DAM,0.2857142857142857
MODASA,0.2857142857142857
NADIAD JN.,0.2857142857142857
NAGAPPATTINAM,0.2857142857142857
BHANVAD,0.2857142857142857
MUNABAO,0.2857142857142857
MIRZAPALI,0.2857142857142857
NAKAHA JUNGLE,0.2857142857142857
SILGHAT TOWN,0.2857142857142857
SHIVAJINAGAR,0.2857142857142857
MELMARUVATHUR,0.2857142857142857
CHITRADURG,0.2857142857142857
GARHI HARSARU JN.,0.2857142857142857
SHAHDOL,0.2857142857142857
SAGAULI JN.,0.2857142857142857
SALEMPUR JN.,0.2857142857142857
SANJAN,0.2857142857142857
ROHA,0.2857142857142857
RUPSA JN.,0.2857142857142857
BHAGTANWALA,0.2857142857142857
BINA,0.2857142857142857
DIGHA GHAT,0.2857142857142857
HARIHAR JN.,0.2857142857142857
CHIKMAGALURU,0.2857142857142857
CHIRMIRI,0.2857142857142857
BELGAUM,0.2857142857142857
ETAH,0.2857142857142857
GUA,0.2857142857142857
KOT KAPURA JN,0.2857142857142857
DHUBRI,0.2857142857142857
KAPTANGANJ JN.,0.2857142857142857
KATHANA,0.2857142857142857
KHAGARIA JN.,0.2857142857142857
KIRANDUL,0.2857142857142857
KISHANGANJ,0.2857142857142857
HANUMANGARH JN.,0.2857142857142857
BITRAGUNTA,0.2857142857142857
BARABHUM,0.2857142857142857
YAMUNA BRIDGE,0.2857142857142857
PATNA GHAT,0.2857142857142857
PERNEM,0.2857142857142857
PEDDAPALLI,0.2857142857142857
PHULWARTANR,0.2857142857142857
RAGHURAJ SINGH,0.2857142857142857
PUNDOOAH,0.2857142857142857
POLLACHI,0.2857142857142857
DHANAURI,0.2857142857142857
BARAMATI,0.2857142857142857
UNCHAHAR JN.,0.2857142857142857
ADRAJ MOTI,0.2857142857142857
VANCHI MANIYACHCHI JN,0.2857142857142857
VADTAL SWAMINARAYAN,0.2857142857142857
TIRUVALLUR,0.2857142857142857
GARBETA,0.2857142857142857
ALWAR JN.,0.14285714285714285
DEOGHAR,0.14285714285714285
DEVANHALLI,0.14285714285714285
TUNI,0.14285714285714285
TORI,0.14285714285714285
WADI JN.,0.14285714285714285
ANDHERI,0.14285714285714285
ANGUL,0.14285714285714285
VAPI,0.14285714285714285
GADAG JN.,0.14285714285714285
GADWAL,0.14285714285714285
URKURA,0.14285714285714285
ABOHAR,0.14285714285714285
ABU ROAD,0.14285714285714285
VIRUDUNAGAR JN,0.14285714285714285
PANKI,0.14285714285714285
PARBHANI JN.,0.14285714285714285
PARVATSAR CITY,0.14285714285714285
PATIALA,0.14285714285714285
PENDLIMARRI,0.14285714285714285
PENDRA ROAD,0.14285714285714285
PETRAPOLE,0.14285714285714285
PHEPHNA JN.,0.14285714285714285
PIDUGURALLA,0.14285714285714285
PRATAP NAGAR,0.14285714285714285
PRINCEP GHAT,0.14285714285714285
PURNEA COURT,0.14285714285714285
PUSHKAR TERMINUS,0.14285714285714285
QADIAN,0.14285714285714285
R BLOCK HALT,0.14285714285714285
RAGHUNATHPUR,0.14285714285714285
BARAUT,0.14285714285714285
HARI PAL,0.14285714285714285
HASSAN JN.,0.14285714285714285
HATHRAS JN.,0.14285714285714285
BELDA,0.14285714285714285
BELLARY JN.,0.14285714285714285
NORTH LAKHIMPUR,0.14285714285714285
OLD MALDA,0.14285714285714285
PALLAVARAM,0.14285714285714285
DHARMABAD,0.14285714285714285
DHARMAPURI,0.14285714285714285
DHARMAVARAM JN.,0.14285714285714285
DHOLA JN,0.14285714285714285
DHONE JN,0.14285714285714285
FATEHPUR,0.14285714285714285
FATEHPUR-SHEKHAWATI,0.14285714285714285
FATUHA,0.14285714285714285
FURKATING JN.,0.14285714285714285
KOTIPALLI,0.14285714285714285
BILARA,0.14285714285714285
BIRMITRAPUR,0.14285714285714285
BIRUR JN.,0.14285714285714285
BISHNUPUR,0.14285714285714285
BOISAR,0.14285714285714285
BATHUA BAZAR HALT,0.14285714285714285
HAIBARGAON,0.14285714285714285
GUDUM,0.14285714285714285
KASARAGOD,0.14285714285714285
KATNI,0.14285714285714285
KENDUJHAR,0.14285714285714285
KHANODIH,0.14285714285714285
GURAP,0.14285714285714285
NARWANA JN.,0.14285714285714285
NATHDWARA,0.14285714285714285
NEW ALIPUR (CALCUTTA),0.14285714285714285
BARSOI JN.,0.14285714285714285
BARSUAN,0.14285714285714285
KODERMA,0.14285714285714285
KOLAGHAT,0.14285714285714285
RAJPIPLA,0.14285714285714285
RAJULA CITY,0.14285714285714285
RANINAGAR JALPAIGURI,0.14285714285714285
RAVIKAMPADU,0.14285714285714285
RAYA DRUG,0.14285714285714285
BALLY,0.14285714285714285
BALLYGUNGE JN.,0.14285714285714285
"BALRAMPUR,",0.14285714285714285
BANASWADI,0.14285714285714285
BHALUKPONG,0.14285714285714285
MURI,0.14285714285714285
NABADWIP DHAM,0.14285714285714285
NADIKUDE JN.,0.14285714285714285
NALHATI JN.,0.14285714285714285
NANJANGUD TOWN,0.14285714285714285
NARKHER,0.14285714285714285
HOSPET JN.,0.14285714285714285
HUMNABAD,0.14285714285714285
MOGA,0.14285714285714285
BETTIAH,0.14285714285714285
BETUL,0.14285714285714285
BHAIRABI,0.14285714285714285
ROZA JN,0.14285714285714285
